"date","cons","invest","GDP","Empl","dPGDP","RW","R"
"1970Q1",1275.056593117,1189.98019515057,1327.89610825984,1157.42306081207,,99.4589326896182,1.97579125
"1970Q2",1276.61937068752,1194.7131823285,1330.09212767781,1157.66413040477,1.66921539206426,102.180595298037,1.96763575
"1970Q3",1278.05761234076,1196.05109618907,1331.177600645,1157.7117926236,1.33579777728532,105.027229497774,1.8899895
"1970Q4",1279.88322577455,1196.22285124804,1332.07320077933,1157.8893432712,1.50291276591785,107.094535049502,1.7972895
"1971Q1",1280.07520853845,1196.15046782432,1332.05526808141,1157.9672015366,2.55287743071153,107.238895798751,1.56932475
"1971Q2",1281.6689915455,1197.84524004575,1333.26281347519,1158.30153611721,1.4312853407237,108.135879821208,1.466967
"1971Q3",1282.82741972623,1197.98800328969,1334.63638597242,1158.0469807846,1.49437900201395,110.324314324514,1.56104
"1971Q4",1284.00902640241,1199.18591480934,1335.35498494782,1157.83416008913,1.3564444135679,111.982168366232,1.495277
"1972Q1",1285.28265415154,1200.53946790403,1336.87676207459,1157.87217260712,2.01600466088627,113.556527119042,1.23402175
"1972Q2",1285.85248097178,1201.02489032092,1337.42969614992,1157.79268477208,1.47603490413122,114.259310486031,1.172072
"1972Q3",1287.88151425912,1202.19523181612,1338.7000869614,1157.90703514618,1.69126805791775,115.466287895196,1.15754375
"1972Q4",1288.92015511399,1204.89022066505,1340.33373488471,1158.28864143852,1.6887767559209,116.955861792485,1.58466275
"1973Q1",1290.4684449098,1206.82846986784,1341.97930302172,1158.61792724291,2.71479450958421,118.49986797269,1.68851575
"1973Q2",1291.95389072467,1207.3007271625,1343.27000701619,1159.03436238344,2.16266548228492,119.817641893275,2.0356075
"1973Q3",1292.67677464645,1208.21568644508,1344.88180922685,1159.38190413216,2.857851082086,121.120005524083,2.49812575
"1973Q4",1293.67135992548,1208.64292949235,1345.81908131373,1159.53844203954,3.04761622280965,122.305355466189,2.7429885
"1974Q1",1293.73717387152,1208.60717166052,1346.73851836875,1159.74979285603,2.88156753820081,123.025905695538,2.7793625
"1974Q2",1294.5227033616,1205.88013820062,1346.97893107297,1159.71848085875,3.24079902639642,124.864787827239,2.7546755
"1974Q3",1295.1815057365,1205.76922894199,1347.58185136891,1159.40017306463,3.30233897329066,125.857631431455,2.84813075
"1974Q4",1294.51335811068,1203.21680766686,1345.97071239477,1159.03333507009,3.30629189019032,126.901362868438,2.668684
"1975Q1",1294.90742271349,1201.17471053748,1344.90593829959,1158.76295165761,2.54184296311339,127.155725269531,2.18194725
"1975Q2",1296.14929243549,1198.88474836383,1345.19166025609,1157.98857387961,2.62184457754873,128.720331010512,1.7413865
"1975Q3",1297.50484611367,1199.22273058604,1346.12941036604,1157.78336052902,2.10693009576957,130.154333579542,1.58237375
"1975Q4",1298.73966119986,1200.97634357921,1347.29250181067,1157.96081233019,2.07822516321527,131.053732031226,1.58475325
"1976Q1",1299.89675452066,1200.68947524178,1348.78099652221,1158.00393856676,2.38203417789284,131.599345175474,1.6662465
"1976Q2",1300.74390088939,1201.26921477146,1350.21742563451,1158.26206364535,2.96911039753973,132.728140336451,2.02676475
"1976Q3",1301.77044041002,1201.22238890009,1351.1893177499,1158.25856604137,3.23350170198746,133.90960767415,2.27374925
